지역명,시군구명,보훈대상자 이용률,보훈대상자수,고령자수,병원 이용자수 평균,보훈병원 유무,광역시도명_x,병원수,평균진료과수,광역시도명_y,대중교통시간_분
경상남도,하동군,,975,823,74.75,0,경상남도,3.0,7.0,경상남도,18.0
경상남도,함안군,,1422,1198,88.83333333333333,0,경상남도,4.0,9.0,경상남도,40.0
경상남도,함양군,,937,789,75.91666666666667,0,경상남도,2.0,11.0,경상남도,13.5
경상남도,합천군,,941,810,56.83333333333334,0,경상남도,2.0,7.0,경상남도,43.0
경상북도,경산시,,5678,4401,753.1666666666666,0,경상북도,6.0,7.0,경상북도,39.33333333333334
경상북도,경주시,,5747,4827,887.0,0,경상북도,6.0,9.0,경상북도,18.33333333333333
경상북도,고령군,,870,770,59.33333333333334,0,경상북도,2.0,8.0,경상북도,61.5
경상북도,구미시,,4366,3093,540.4166666666666,0,경상북도,6.0,8.0,경상북도,28.5
경상북도,김천시,,3018,2498,296.1666666666667,0,경상북도,4.0,7.0,경상북도,26.0
경상북도,문경시,,1907,1594,226.0833333333333,0,경상북도,4.0,7.0,경상북도,54.5
경상북도,봉화군,,796,693,38.5,0,경상북도,1.0,5.0,경상북도,26.0
경상북도,상주시,,2214,1914,312.75,0,경상북도,3.0,7.0,경상북도,26.33333333333333
경상북도,성주군,,1145,1017,59.58333333333334,0,경상북도,1.0,5.0,경상북도,23.0
경상북도,안동시,,3320,2695,509.5,0,경상북도,3.0,13.0,경상북도,21.66666666666667
경상북도,영덕군,,1075,958,64.54545454545455,0,경상북도,2.0,4.0,경상북도,23.5
경상북도,영양군,,386,339,15.72727272727273,0,경상북도,1.0,3.0,경상북도,
경상북도,영주시,,2350,1974,240.0833333333333,0,경상북도,5.0,5.0,경상북도,254.5
경상북도,영천시,,2781,2287,233.75,0,경상북도,3.0,8.0,경상북도,37.66666666666666
경상북도,예천군,,1185,913,61.66666666666666,0,경상북도,3.0,6.0,경상북도,28.0
경상북도,울릉군,,187,129,16.71428571428572,0,경상북도,1.0,10.0,경상북도,22.0
