광역시도명,시군구명,대중교통시간_분
충청남도,예산군,42.0
충청남도,천안시,49.8
충청남도,청양군,11.5
충청남도,태안군,23.66666666666667
충청남도,홍성군,64.0
충청북도,괴산군,8.0
충청북도,단양군,15.0
충청북도,보은군,20.5
충청북도,영동군,18.5
충청북도,옥천군,25.5
충청북도,음성군,89.33333333333333
충청북도,제천시,32.75
충청북도,증평군,12.0
충청북도,진천군,8.0
충청북도,청주시,28.55555555555556
충청북도,충주시,28.75
