기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2024-12,제주특별자치도,서귀포시,5,애국지사,건국포장,4,0,4
2024-12,제주특별자치도,서귀포시,6,애국지사,대통령표창,13,0,13
2024-12,제주특별자치도,서귀포시,7,전몰·전상·순직·공상군경,전몰군경,337,0,337
2024-12,제주특별자치도,서귀포시,8,전몰·전상·순직·공상군경,전상군경,803,192,611
2024-12,제주특별자치도,서귀포시,9,전몰·전상·순직·공상군경,순직군경,79,0,79
2024-12,제주특별자치도,서귀포시,10,전몰·전상·순직·공상군경,공상군경,248,172,76
2024-12,제주특별자치도,서귀포시,11,고엽제후유증,고엽제후유증,199,96,103
2024-12,제주특별자치도,서귀포시,12,무공수훈자,무공수훈자,650,75,575
2024-12,제주특별자치도,서귀포시,13,보국수훈자,보국수훈자,102,94,8
2024-12,제주특별자치도,서귀포시,14,재일학도의용군인,재일학도의용군인,0,0,0
2024-12,제주특별자치도,서귀포시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2024-12,제주특별자치도,서귀포시,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2024-12,제주특별자치도,서귀포시,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2024-12,제주특별자치도,서귀포시,18,순직·공상공무원,순직공무원,21,0,21
2024-12,제주특별자치도,서귀포시,19,순직·공상공무원,공상공무원,12,7,5
2024-12,제주특별자치도,서귀포시,20,특별공로(순직)자,특별공로순직자,0,0,0
2024-12,제주특별자치도,서귀포시,21,6·18자유상이자,6·18자유상이자,0,0,0
2024-12,제주특별자치도,서귀포시,22,지원대상자,지원순직군경,0,0,0
2024-12,제주특별자치도,서귀포시,23,지원대상자,지원공상군경,7,7,0
2024-12,제주특별자치도,서귀포시,24,지원대상자,지원순직공무원,1,0,1
2024-12,제주특별자치도,서귀포시,25,지원대상자,지원공상공무원,2,1,1
2024-12,제주특별자치도,서귀포시,26,보훈보상대상자,재해사망군경,10,0,10
2024-12,제주특별자치도,서귀포시,27,보훈보상대상자,재해부상군경,17,16,1
2024-12,제주특별자치도,서귀포시,28,보훈보상대상자,재해사망공무원,2,0,2
2024-12,제주특별자치도,서귀포시,29,보훈보상대상자,재해부상공무원,4,4,0
2024-12,제주특별자치도,서귀포시,30,참전유공자,6·25전쟁,203,203,0
2024-12,제주특별자치도,서귀포시,31,참전유공자,월남전쟁,660,660,0
2024-12,제주특별자치도,서귀포시,32,참전유공자,6.25및월남전쟁,4,4,0
2024-12,제주특별자치도,서귀포시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,158,158,0
2024-12,제주특별자치도,서귀포시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2024-12,제주특별자치도,서귀포시,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2024-12,제주특별자치도,서귀포시,36,5.18민주유공자,5·18부상자,3,3,0
2024-12,제주특별자치도,서귀포시,37,5.18민주유공자,5·18희생자,3,3,0
2024-12,제주특별자치도,서귀포시,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2024-12,제주특별자치도,서귀포시,39,특수임무유공자,특수임무부상자,5,4,1
2024-12,제주특별자치도,서귀포시,40,특수임무유공자,특수임무공로자,4,2,2
2024-12,제주특별자치도,서귀포시,41,중·장기복무제대군인,중·장기복무제대군인,329,329,0
2024-12,제주특별자치도,제주시,1,순국선열,건국훈장,5,0,5
2024-12,제주특별자치도,제주시,2,순국선열,건국포장,0,0,0
2024-12,제주특별자치도,제주시,3,순국선열,대통령표창,0,0,0
2024-12,제주특별자치도,제주시,4,애국지사,건국훈장,45,0,45
2024-12,제주특별자치도,제주시,5,애국지사,건국포장,7,0,7
2024-12,제주특별자치도,제주시,6,애국지사,대통령표창,16,0,16
2024-12,제주특별자치도,제주시,7,전몰·전상·순직·공상군경,전몰군경,635,0,635
2024-12,제주특별자치도,제주시,8,전몰·전상·순직·공상군경,전상군경,1754,449,1305
2024-12,제주특별자치도,제주시,9,전몰·전상·순직·공상군경,순직군경,151,0,151
2024-12,제주특별자치도,제주시,10,전몰·전상·순직·공상군경,공상군경,595,428,167
2024-12,제주특별자치도,제주시,11,고엽제후유증,고엽제후유증,482,265,217
2024-12,제주특별자치도,제주시,12,무공수훈자,무공수훈자,1351,134,1217
2024-12,제주특별자치도,제주시,13,보국수훈자,보국수훈자,236,203,33
2024-12,제주특별자치도,제주시,14,재일학도의용군인,재일학도의용군인,2,0,2
2024-12,제주특별자치도,제주시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2024-12,제주특별자치도,제주시,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2024-12,제주특별자치도,제주시,17,4.19혁명유공자,4·19혁명공로자,4,1,3
2024-12,제주특별자치도,제주시,18,순직·공상공무원,순직공무원,113,0,113
2024-12,제주특별자치도,제주시,19,순직·공상공무원,공상공무원,61,32,29
2024-12,제주특별자치도,제주시,20,특별공로(순직)자,특별공로순직자,0,0,0
2024-12,제주특별자치도,제주시,21,6·18자유상이자,6·18자유상이자,1,0,1
2024-12,제주특별자치도,제주시,22,지원대상자,지원순직군경,1,0,1
2024-12,제주특별자치도,제주시,23,지원대상자,지원공상군경,17,17,0
2024-12,제주특별자치도,제주시,24,지원대상자,지원순직공무원,3,0,3
2024-12,제주특별자치도,제주시,25,지원대상자,지원공상공무원,4,4,0
2024-12,제주특별자치도,제주시,26,보훈보상대상자,재해사망군경,16,0,16
2024-12,제주특별자치도,제주시,27,보훈보상대상자,재해부상군경,58,48,10
2024-12,제주특별자치도,제주시,28,보훈보상대상자,재해사망공무원,2,0,2
2024-12,제주특별자치도,제주시,29,보훈보상대상자,재해부상공무원,4,4,0
2024-12,제주특별자치도,제주시,30,참전유공자,6·25전쟁,397,397,0
2024-12,제주특별자치도,제주시,31,참전유공자,월남전쟁,1344,1344,0
2024-12,제주특별자치도,제주시,32,참전유공자,6.25및월남전쟁,5,5,0
2024-12,제주특별자치도,제주시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,388,388,0
2024-12,제주특별자치도,제주시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,3,3,0
2024-12,제주특별자치도,제주시,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2024-12,제주특별자치도,제주시,36,5.18민주유공자,5·18부상자,11,8,3
2024-12,제주특별자치도,제주시,37,5.18민주유공자,5·18희생자,0,0,0
2024-12,제주특별자치도,제주시,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2024-12,제주특별자치도,제주시,39,특수임무유공자,특수임무부상자,13,12,1
2024-12,제주특별자치도,제주시,40,특수임무유공자,특수임무공로자,23,18,5
2024-12,제주특별자치도,제주시,41,중·장기복무제대군인,중·장기복무제대군인,773,773,0
2024-09,제주특별자치도,제주특별자치도,1,순국선열,건국훈장,5,0,5
2024-09,제주특별자치도,제주특별자치도,2,순국선열,건국포장,0,0,0
2024-09,제주특별자치도,제주특별자치도,3,순국선열,대통령표창,0,0,0
2024-09,제주특별자치도,제주특별자치도,4,애국지사,건국훈장,57,1,56
2024-09,제주특별자치도,제주특별자치도,5,애국지사,건국포장,11,0,11
2024-09,제주특별자치도,제주특별자치도,6,애국지사,대통령표창,29,0,29
2024-09,제주특별자치도,제주특별자치도,7,전몰·전상·순직·공상군경,전몰군경,979,0,979
2024-09,제주특별자치도,제주특별자치도,8,전몰·전상·순직·공상군경,전상군경,2526,634,1892
2024-09,제주특별자치도,제주특별자치도,9,전몰·전상·순직·공상군경,순직군경,230,0,230
2024-09,제주특별자치도,제주특별자치도,10,전몰·전상·순직·공상군경,공상군경,843,604,239
2024-09,제주특별자치도,제주특별자치도,11,고엽제후유증,고엽제후유증,676,364,312
2024-09,제주특별자치도,제주특별자치도,12,무공수훈자,무공수훈자,1996,214,1782
2024-09,제주특별자치도,제주특별자치도,13,보국수훈자,보국수훈자,338,298,40
2024-09,제주특별자치도,제주특별자치도,14,재일학도의용군인,재일학도의용군인,2,0,2
2024-09,제주특별자치도,제주특별자치도,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2024-09,제주특별자치도,제주특별자치도,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2024-09,제주특별자치도,제주특별자치도,17,4.19혁명유공자,4·19혁명공로자,3,1,2
2024-09,제주특별자치도,제주특별자치도,18,순직·공상공무원,순직공무원,134,0,134
2024-09,제주특별자치도,제주특별자치도,19,순직·공상공무원,공상공무원,73,39,34
2024-09,제주특별자치도,제주특별자치도,20,특별공로(순직)자,특별공로순직자,0,0,0
2024-09,제주특별자치도,제주특별자치도,21,6·18자유상이자,6·18자유상이자,1,0,1
2024-09,제주특별자치도,제주특별자치도,22,지원대상자,지원순직군경,1,0,1
2024-09,제주특별자치도,제주특별자치도,23,지원대상자,지원공상군경,24,24,0
2024-09,제주특별자치도,제주특별자치도,24,지원대상자,지원순직공무원,4,0,4
2024-09,제주특별자치도,제주특별자치도,25,지원대상자,지원공상공무원,6,5,1
2024-09,제주특별자치도,제주특별자치도,26,보훈보상대상자,재해사망군경,26,0,26
2024-09,제주특별자치도,제주특별자치도,27,보훈보상대상자,재해부상군경,76,65,11
2024-09,제주특별자치도,제주특별자치도,28,보훈보상대상자,재해사망공무원,4,0,4
2024-09,제주특별자치도,제주특별자치도,29,보훈보상대상자,재해부상공무원,8,8,0
2024-09,제주특별자치도,제주특별자치도,30,참전유공자,6·25전쟁,614,614,0
2024-09,제주특별자치도,제주특별자치도,31,참전유공자,월남전쟁,2023,2023,0
2024-09,제주특별자치도,제주특별자치도,32,참전유공자,6.25및월남전쟁,9,9,0
2024-09,제주특별자치도,제주특별자치도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,548,548,0
2024-09,제주특별자치도,제주특별자치도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,3,3,0
2024-09,제주특별자치도,제주특별자치도,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2024-09,제주특별자치도,제주특별자치도,36,5.18민주유공자,5·18부상자,13,10,3
2024-09,제주특별자치도,제주특별자치도,37,5.18민주유공자,5·18희생자,3,3,0
2024-09,제주특별자치도,제주특별자치도,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2024-09,제주특별자치도,제주특별자치도,39,특수임무유공자,특수임무부상자,17,15,2
2024-09,제주특별자치도,제주특별자치도,40,특수임무유공자,특수임무공로자,27,20,7
2024-09,제주특별자치도,제주특별자치도,41,중·장기복무제대군인,중·장기복무제대군인,1080,1080,0
2024-09,제주특별자치도,서귀포시,1,순국선열,건국훈장,0,0,0
2024-09,제주특별자치도,서귀포시,2,순국선열,건국포장,0,0,0
2024-09,제주특별자치도,서귀포시,3,순국선열,대통령표창,0,0,0
2024-09,제주특별자치도,서귀포시,4,애국지사,건국훈장,12,1,11
2024-09,제주특별자치도,서귀포시,5,애국지사,건국포장,4,0,4
2024-09,제주특별자치도,서귀포시,6,애국지사,대통령표창,13,0,13
2024-09,제주특별자치도,서귀포시,7,전몰·전상·순직·공상군경,전몰군경,338,0,338
2024-09,제주특별자치도,서귀포시,8,전몰·전상·순직·공상군경,전상군경,792,188,604
2024-09,제주특별자치도,서귀포시,9,전몰·전상·순직·공상군경,순직군경,79,0,79
2024-09,제주특별자치도,서귀포시,10,전몰·전상·순직·공상군경,공상군경,254,177,77
2024-09,제주특별자치도,서귀포시,11,고엽제후유증,고엽제후유증,197,96,101
2024-09,제주특별자치도,서귀포시,12,무공수훈자,무공수훈자,649,77,572
2024-09,제주특별자치도,서귀포시,13,보국수훈자,보국수훈자,104,96,8
2024-09,제주특별자치도,서귀포시,14,재일학도의용군인,재일학도의용군인,0,0,0
2024-09,제주특별자치도,서귀포시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2024-09,제주특별자치도,서귀포시,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2024-09,제주특별자치도,서귀포시,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2024-09,제주특별자치도,서귀포시,18,순직·공상공무원,순직공무원,21,0,21
2024-09,제주특별자치도,서귀포시,19,순직·공상공무원,공상공무원,12,7,5
2024-09,제주특별자치도,서귀포시,20,특별공로(순직)자,특별공로순직자,0,0,0
2024-09,제주특별자치도,서귀포시,21,6·18자유상이자,6·18자유상이자,0,0,0
2024-09,제주특별자치도,서귀포시,22,지원대상자,지원순직군경,0,0,0
2024-09,제주특별자치도,서귀포시,23,지원대상자,지원공상군경,7,7,0
2024-09,제주특별자치도,서귀포시,24,지원대상자,지원순직공무원,1,0,1
2024-09,제주특별자치도,서귀포시,25,지원대상자,지원공상공무원,2,1,1
2024-09,제주특별자치도,서귀포시,26,보훈보상대상자,재해사망군경,10,0,10
2024-09,제주특별자치도,서귀포시,27,보훈보상대상자,재해부상군경,18,17,1
2024-09,제주특별자치도,서귀포시,28,보훈보상대상자,재해사망공무원,2,0,2
